startTime,endTime,type,subtype,source,assetExternalIds,KEY,source,sourceId,WORKORDER_NUMBER,WORKORDER_STATUS,WORKORDER_ISACTIVE,WORKORDER_TASKDESC,WORKORDER_TASKNAME,WORKORDER_TASKNUMBER,WORKORDER_TASKISCOMPLETED,WORKORDER_TISLOCATIONCODE,WORKORDER_TASKPREDECTASKNO,WORKORDER_TASKSHUTDOWNDESC,WORKORDER_STATUSISCOMPLETED,WORKORDER_TASKCOMPLETEDDATE,WORKORDER_TASKDURATIONHOURS,WORKORDER_TASKDISCIPLINEDESC,WORKORDER_TASKPREDECTASKNAME,WORKORDER_TASKREMAININGHOURS,WORKORDER_TASKPREDECDEPENDENCY
1351234800000,1351548691000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-077070_20,akerbp-cdp,4960142335748003,FAO-077070,600,NO,Excecute Routine ***-VPH-CM-***,Monthly meeting with SCORE,20,YES,VAL,,Under drift,YES,,4,Onshore,,0,
1351234800000,1351433755000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-075662_1,akerbp-cdp,7137149132243028,FAO-075662,600,NO,Utfør rutine ***(PH)***,*** MND MEK. Smøreoljeprøve kompressorer,1,YES,VAL,,Under drift,YES,,6,Mekanisk,,0,
1351234800000,1351525727000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077071_30,akerbp-cdp,8241417539495994,FAO-077071,600,NO,*** ***-VPH-CM-***,Monthly monitoring control valves,30,YES,VAL,,Under drift,YES,2012-10-23T12:40:12,4,Onshore,,0,
1351234800000,1351526895000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077072_10,akerbp-cdp,2267285133560988,FAO-077072,600,NO,*** ***-VPH-CM-***,Daily monitoring control valves,10,YES,VAL,,,YES,2012-10-23T12:59:09,2,Onshore,,0,
1351234800000,1351525727000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077071_10,akerbp-cdp,2277090092726565,FAO-077071,600,NO,*** ***-VPH-CM-***,Daily monitoring control valves,10,YES,VAL,,,YES,2012-10-23T12:39:18,1,Onshore,,0,
1351234800000,1351555200000.0,Worktask,VAL,akerbp-cdp,WMT:23-KA-9101,VAL_FAO-077068_20,akerbp-cdp,2047536392771576,FAO-077068,900,NO,Excecute Routine ***-VPH-CM-***,Monthly SKF meeting with BP,20,NO,VAL,,Under drift,NO,,20,Onshore,,20,
1351234800000,1351555200000.0,Worktask,VAL,akerbp-cdp,WMT:23-ESDV-92551A;WMT:23-ESDV-92501A;WMT:23-ESDV-92501B;WMT:23-ESDV-92521;WMT:23-ESDV-92551B,VAL_FAO-077067_20,akerbp-cdp,1648134142543235,FAO-077067,900,NO,Excecute Routine ***-VPH-CM-***,Monthly SCORE meeting with BP,20,NO,VAL,,Under drift,NO,,8,Onshore,,8,
1351753200000,1351608719000.0,Worktask,VAL,akerbp-cdp,WMT:23-YPSV-92526,VAL_IAO-018971_2,akerbp-cdp,3885409444923745,IAO-018971,600,NO,Utfør rutiner: ***(IP)***,*** MND MEK. Inspeksjon av PSV,2,YES,VAL,,Hovedutstyrs nedstengning,YES,,6,Mekanisk,,0,
1351753200000,1351608719000.0,Worktask,VAL,akerbp-cdp,WMT:23-YPSV-92526,VAL_IAO-018971_3,akerbp-cdp,1708496195069041,IAO-018971,600,NO,Utfør rutiner: ***(IP)***,*** MND INSP. Inspeksjon av PSV,3,YES,VAL,,Hovedutstyrs nedstengning,YES,,1,Inspeksjon,,0,
1351753200000,1351608719000.0,Worktask,VAL,akerbp-cdp,WMT:23-YPSV-92526,VAL_IAO-018971_1,akerbp-cdp,1163181179620643,IAO-018971,600,NO,Utfør rutiner: ***(IP)***,*** MND DRIFT. Klargjøring og tilbakestilling,1,YES,VAL,,Hovedutstyrs nedstengning,YES,,4,Drift,,0,
1353049200000,1353422282000.0,Worktask,VAL,akerbp-cdp,WMT:23-LV-92521B;WMT:23-TV-92504;WMT:23-TV-92604B;WMT:23-LV-92521A;WMT:23-PV-96153,VAL_FAO-077205_30,akerbp-cdp,6747784037569204,FAO-077205,600,NO,*** ***-VPH-CM-***,Monthly monitoring control valves,30,YES,VAL,,Under drift,YES,2012-11-20T14:35:32,4,Onshore,,0,
