"key","externalId","sourceExternalId","targetExternalId"
"FAO-115961-WMT:48-ZSL-96966A","FAO-115961-WMT:48-ZSL-96966A","FAO-115961","WMT:48-ZSL-96966A"
"FAO-117753-WMT:23-DB-9101","FAO-117753-WMT:23-DB-9101","FAO-117753","WMT:23-DB-9101"
"FAO-117754-WMT:23-ESDV-92551A","FAO-117754-WMT:23-ESDV-92551A","FAO-117754","WMT:23-ESDV-92551A"
"FAO-118237-WMT:23-YSV-92526","FAO-118237-WMT:23-YSV-92526","FAO-118237","WMT:23-YSV-92526"
"FAO-118237-WMT:23-YXY-92545-03","FAO-118237-WMT:23-YXY-92545-03","FAO-118237","WMT:23-YXY-92545-03"
"FAO-119438-WMT:23-PT-96160-03","FAO-119438-WMT:23-PT-96160-03","FAO-119438","WMT:23-PT-96160-03"
"FAO-119613-WMT:23-ESDV-92501B","FAO-119613-WMT:23-ESDV-92501B","FAO-119613","WMT:23-ESDV-92501B"
"FAO-119616-WMT:23-TIC-96147","FAO-119616-WMT:23-TIC-96147","FAO-119616","WMT:23-TIC-96147"
"FAO-119618-WMT:23-ESDV-92521","FAO-119618-WMT:23-ESDV-92521","FAO-119618","WMT:23-ESDV-92521"
"FAO-119618-WMT:23-ESDV-92551B","FAO-119618-WMT:23-ESDV-92551B","FAO-119618","WMT:23-ESDV-92551B"
"FAO-119772-WMT:45-V-90353","FAO-119772-WMT:45-V-90353","FAO-119772","WMT:45-V-90353"
"FAO-119778-WMT:23-HV-92540-05","FAO-119778-WMT:23-HV-92540-05","FAO-119778","WMT:23-HV-92540-05"
"FAO-119778-WMT:45-HV-92509","FAO-119778-WMT:45-HV-92509","FAO-119778","WMT:45-HV-92509"
"FAO-120795-WMT:23-KA-9101-M01","FAO-120795-WMT:23-KA-9101-M01","FAO-120795","WMT:23-KA-9101-M01"
"FAO-120798-WMT:23-ESDV-92551B","FAO-120798-WMT:23-ESDV-92551B","FAO-120798","WMT:23-ESDV-92551B"
"FAO-120905-WMT:23-HV-92527-03","FAO-120905-WMT:23-HV-92527-03","FAO-120905","WMT:23-HV-92527-03"
"FAO-120996-WMT:23-HV-96172-01","FAO-120996-WMT:23-HV-96172-01","FAO-120996","WMT:23-HV-96172-01"
"FAO-121007-WMT:23-EZSM-92501A","FAO-121007-WMT:23-EZSM-92501A","FAO-121007","WMT:23-EZSM-92501A"
"FAO-121008-WMT:23-EZSL-92551A","FAO-121008-WMT:23-EZSL-92551A","FAO-121008","WMT:23-EZSL-92551A"
"FAO-121016-WMT:23-ESDP-92501B","FAO-121016-WMT:23-ESDP-92501B","FAO-121016","WMT:23-ESDP-92501B"
"FAO-121016-WMT:23-EXY-92501B-05","FAO-121016-WMT:23-EXY-92501B-05","FAO-121016","WMT:23-EXY-92501B-05"
"FAO-121017-WMT:23-EZSL-92551B","FAO-121017-WMT:23-EZSL-92551B","FAO-121017","WMT:23-EZSL-92551B"
"FAO-121017-WMT:23-HS-92551B-05","FAO-121017-WMT:23-HS-92551B-05","FAO-121017","WMT:23-HS-92551B-05"
"FAO-123506-WMT:48-ZSH-96966B","FAO-123506-WMT:48-ZSH-96966B","FAO-123506","WMT:48-ZSH-96966B"
"FAO-123527-WMT:23-ESDV-92501B","FAO-123527-WMT:23-ESDV-92501B","FAO-123527","WMT:23-ESDV-92501B"
"FAO-123676-WMT:23-XVP-92748","FAO-123676-WMT:23-XVP-92748","FAO-123676","WMT:23-XVP-92748"
"FAO-123822-WMT:23-ESDV-92501B","FAO-123822-WMT:23-ESDV-92501B","FAO-123822","WMT:23-ESDV-92501B"
"FAO-123822-WMT:23-ESDV-92551B","FAO-123822-WMT:23-ESDV-92551B","FAO-123822","WMT:23-ESDV-92551B"
"FAO-124263-WMT:23-FPSV-92542","FAO-124263-WMT:23-FPSV-92542","FAO-124263","WMT:23-FPSV-92542"
"FAO-126077-WMT:23-KA-9101-M01","FAO-126077-WMT:23-KA-9101-M01","FAO-126077","WMT:23-KA-9101-M01"
"FAO-126078-WMT:23-ESDV-92551B","FAO-126078-WMT:23-ESDV-92551B","FAO-126078","WMT:23-ESDV-92551B"
"FAO-126321-WMT:23-TT-92533","FAO-126321-WMT:23-TT-92533","FAO-126321","WMT:23-TT-92533"
"FAO-126325-WMT:23-FZSL-92542","FAO-126325-WMT:23-FZSL-92542","FAO-126325","WMT:23-FZSL-92542"
"FAO-126325-WMT:23-PSL-96140","FAO-126325-WMT:23-PSL-96140","FAO-126325","WMT:23-PSL-96140"
"FAO-126325-WMT:23-TE-96104-01","FAO-126325-WMT:23-TE-96104-01","FAO-126325","WMT:23-TE-96104-01"
"FAO-126325-WMT:23-TE-96111-03","FAO-126325-WMT:23-TE-96111-03","FAO-126325","WMT:23-TE-96111-03"
"FAO-126325-WMT:23-TE-96116-01","FAO-126325-WMT:23-TE-96116-01","FAO-126325","WMT:23-TE-96116-01"
"FAO-126325-WMT:23-TE-96116-03","FAO-126325-WMT:23-TE-96116-03","FAO-126325","WMT:23-TE-96116-03"
"FAO-126325-WMT:23-YT-96133-01","FAO-126325-WMT:23-YT-96133-01","FAO-126325","WMT:23-YT-96133-01"
