"key","externalId","sourceExternalId","targetExternalId"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-TE-96181-03","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-TE-96181-03","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-TE-96181-03"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-TX-9103","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:23-TX-9103","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:23-TX-9103"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:45-FO-92138","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:45-FO-92138","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:45-FO-92138"
"WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:45-FT-92139B","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH-WMT:45-FT-92139B","WMT:23-1ST STAGE COMP LUBE OIL SYS-PH","WMT:45-FT-92139B"
"WMT:23-1ST STAGE COMPRESSOR-PH-WMT:23-PSV-92540","WMT:23-1ST STAGE COMPRESSOR-PH-WMT:23-PSV-92540","WMT:23-1ST STAGE COMPRESSOR-PH","WMT:23-PSV-92540"
"WMT:23-1ST STAGE COMPRESSOR-PH-WMT:23-TT-92533","WMT:23-1ST STAGE COMPRESSOR-PH-WMT:23-TT-92533","WMT:23-1ST STAGE COMPRESSOR-PH","WMT:23-TT-92533"
"WMT:23-CB-9104A-WMT:23-FO-96146-01","WMT:23-CB-9104A-WMT:23-FO-96146-01","WMT:23-CB-9104A","WMT:23-FO-96146-01"
"WMT:23-CB-9129A-WMT:23-PT-96156-01","WMT:23-CB-9129A-WMT:23-PT-96156-01","WMT:23-CB-9129A","WMT:23-PT-96156-01"
"WMT:23-CX-9101-WMT:23-HV-96128","WMT:23-CX-9101-WMT:23-HV-96128","WMT:23-CX-9101","WMT:23-HV-96128"
"WMT:23-CX-9101-WMT:23-PCV-96110","WMT:23-CX-9101-WMT:23-PCV-96110","WMT:23-CX-9101","WMT:23-PCV-96110"
"WMT:23-DB-9101-WMT:23-TE-96112-03","WMT:23-DB-9101-WMT:23-TE-96112-03","WMT:23-DB-9101","WMT:23-TE-96112-03"
"WMT:23-DB-9101-WMT:23-TE-96114-01","WMT:23-DB-9101-WMT:23-TE-96114-01","WMT:23-DB-9101","WMT:23-TE-96114-01"
"WMT:23-DB-9101-WMT:23-YE-96119-01","WMT:23-DB-9101-WMT:23-YE-96119-01","WMT:23-DB-9101","WMT:23-YE-96119-01"
"WMT:23-DB-9101-WMT:23-YE-96120-02","WMT:23-DB-9101-WMT:23-YE-96120-02","WMT:23-DB-9101","WMT:23-YE-96120-02"
"WMT:23-DB-9101-WMT:23-YT-96122","WMT:23-DB-9101-WMT:23-YT-96122","WMT:23-DB-9101","WMT:23-YT-96122"
